Product2Id,Pricebook2Id,UnitPrice,IsActive,UseStandardPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,PrecioExoneradoMinimo__c,Gastos__c,MontoCashback__c,AplicaCashback__c,VigenciaDesde__c
01tWK00000G1Ik5YAF,01sWK000003AnvNYAS,38950.0,true,false,37975.0,30100.0,36972.0,1400.0,,false,
01tWK00000G1Ik6YAF,01sWK000003AnvNYAS,39950.0,true,false,38950.0,30900.0,37984.0,1500.0,,false,
01tWK00000G1Ik7YAF,01sWK000003AnvNYAS,38900.0,true,false,36900.0,33300.0,36971.0,1500.0,,false,
01tWK00000G1Ik8YAF,01sWK000003AnvNYAS,41500.0,true,false,39500.0,35400.0,40313.0,1550.0,,false,
01tWK00000G1Ik9YAF,01sWK000003AnvNYAS,45950.0,true,false,44800.0,35600.0,44056.0,1650.0,,false,
01tWK00000G1IkAYAV,01sWK000003AnvNYAS,48900.0,true,false,47400.0,39900.0,47173.0,1750.0,,false,
01tWK00000G1IkBYAV,01sWK000003AnvNYAS,39900.0,true,false,39000.0,34300.0,37986.0,1500.0,,false,
01tWK00000G1IkCYAV,01sWK000003AnvNYAS,42500.0,true,false,41500.0,35600.0,41215.0,1600.0,,false,
01tWK00000G1IkDYAV,01sWK000003AnvNYAS,62900.0,true,false,61325.0,76800.0,33917.0,2200.0,,false,
01tWK00000G1IkEYAV,01sWK000003AnvNYAS,64250.0,true,false,63200.0,50900.0,63350.0,2200.0,,false,
01tWK00000G1IkFYAV,01sWK000003AnvNYAS,66900.0,true,false,65225.0,60600.0,56554.0,2400.0,,false,
01tWK00000G1IkGYAV,01sWK000003AnvNYAS,68250.0,true,false,67200.0,53900.0,67350.0,2400.0,,false,
01tWK00000G1IkHYAV,01sWK000003AnvNYAS,50500.0,true,false,48900.0,42600.0,48712.0,1000.0,,false,
01tWK00000G1IkIYAV,01sWK000003AnvNYAS,48500.0,true,false,46000.0,42100.0,46705.0,1000.0,,false,
01tWK00000G1IkJYAV,01sWK000003AnvNYAS,51500.0,true,false,49900.0,43400.0,49724.0,1100.0,,false,
01tWK00000G1IkKYAV,01sWK000003AnvNYAS,49500.0,true,false,47000.0,42700.0,47003.0,800.0,,false,
01tWK00000G1IkLYAV,01sWK000003AnvNYAS,52500.0,true,false,50900.0,73014.98,21820.02,1200.0,,false,
01tWK00000G1IkMYAV,01sWK000003AnvNYAS,24500.0,true,false,23500.0,22600.0,22509.0,1100.0,,false,
01tWK00000G1IkNYAV,01sWK000003AnvNYAS,26900.0,true,false,26230.0,22100.0,24800.0,1200.0,,false,
01tWK00000G1IkOYAV,01sWK000003AnvNYAS,51700.0,true,false,43700.0,35400.0,29600.0,2800.0,7500.0,false,
01tWK00000G1IkPYAV,01sWK000003AnvNYAS,85990.0,true,false,77990.0,58700.0,50600.0,4200.0,8000.0,false,
01tWK00000G1IkQYAV,01sWK000003AnvNYAS,85990.0,true,false,77990.0,58600.0,50000.0,4200.0,8000.0,false,
01tWK00000G1IkRYAV,01sWK000003AnvNYAS,31990.0,true,false,25470.0,22220.0,17520.0,1400.0,6000.0,false,
01tWK00000G1IkSYAV,01sWK000003AnvNYAS,32900.0,true,false,26380.0,22720.0,19020.0,1400.0,6000.0,false,
01tWK00000G1IkTYAV,01sWK000003AnvNYAS,33900.0,true,false,28380.0,23520.0,19120.0,1400.0,5000.0,false,
01tWK00000G1IkUYAV,01sWK000003AnvNYAS,43900.0,true,false,37090.0,38610.0,31210.0,2800.0,6000.0,false,
01tWK00000G1IkVYAV,01sWK000003AnvNYAS,44900.0,true,false,39090.0,39610.0,33010.0,2800.0,5000.0,false,
01tWK00000G1IkWYAV,01sWK000003AnvNYAS,51900.0,true,false,45090.0,45610.0,38010.0,3200.0,6000.0,false,
01tWK00000G1IkXYAV,01sWK000003AnvNYAS,51900.0,true,false,47090.0,45610.0,39810.0,3200.0,4000.0,false,
01tWK00000G1IkYYAV,01sWK000003AnvNYAS,45900.0,true,false,39090.0,40510.0,33010.0,2800.0,6000.0,false,
01tWK00000G1IkZYAV,01sWK000003AnvNYAS,45900.0,true,false,39090.0,40510.0,33010.0,2800.0,6000.0,false,
01tWK00000G1IkaYAF,01sWK000003AnvNYAS,46900.0,true,false,42090.0,41510.0,35710.0,2800.0,4000.0,false,
01tWK00000G1IkbYAF,01sWK000003AnvNYAS,55900.0,true,false,51090.0,49410.0,43310.0,3300.0,4000.0,false,
01tWK00000G1IkcYAF,01sWK000003AnvNYAS,59900.0,true,false,53090.0,52810.0,44910.0,3400.0,6000.0,false,
01tWK00000G1IkdYAF,01sWK000003AnvNYAS,61900.0,true,false,57090.0,54810.0,48610.0,3400.0,4000.0,false,
01tWK00000G1IkeYAF,01sWK000003AnvNYAS,48900.0,true,false,42090.0,43310.0,35710.0,2800.0,6000.0,false,
01tWK00000G1IkfYAF,01sWK000003AnvNYAS,49900.0,true,false,45090.0,44410.0,38410.0,2800.0,4000.0,false,
01tWK00000G1IkgYAF,01sWK000003AnvNYAS,45900.0,true,false,39090.0,35610.0,29110.0,2800.0,6000.0,false,
01tWK00000G1IkhYAF,01sWK000003AnvNYAS,44950.0,true,false,43655.0,30500.0,43079.0,2000.0,,false,
01tWK00000G1IkiYAF,01sWK000003AnvNYAS,56900.0,true,false,55400.0,41500.0,55095.0,2500.0,,false,
01tWK00000G1IkjYAF,01sWK000003AnvNYAS,41900.0,true,false,40850.0,32200.0,37213.0,1700.0,,false,
01tWK00000G1IkkYAF,01sWK000003AnvNYAS,46950.0,true,false,45750.0,32300.0,45005.0,2000.0,,false,
01tWK00000G1IklYAF,01sWK000003AnvNYAS,47950.0,true,false,46750.0,32000.0,47321.0,2000.0,,false,
01tWK00000G1IkmYAF,01sWK000003AnvNYAS,52900.0,true,false,51550.0,39700.0,48124.0,2000.0,,false,
01tWK00000G1IknYAF,01sWK000003AnvNYAS,49950.0,true,false,48700.0,44950.0,37792.0,2100.0,,false,
01tWK00000G1IkoYAF,01sWK000003AnvNYAS,54900.0,true,false,53000.0,54940.0,36305.0,2100.0,,false,
01tWK00000G1IkpYAF,01sWK000003AnvNYAS,59900.0,true,false,58000.0,43200.0,58121.0,2500.0,,false,
01tWK00000G1IkqYAF,01sWK000003AnvNYAS,33900.0,true,false,33050.0,23400.0,32023.0,1300.0,,false,
01tWK00000G1IkrYAF,01sWK000003AnvNYAS,39900.0,true,false,38900.0,27000.0,38179.0,1500.0,,false,
01tWK00000G1IksYAF,01sWK000003AnvNYAS,41900.0,true,false,40400.0,29200.0,40416.0,1600.0,,false,
01tWK00000G1IktYAF,01sWK000003AnvNYAS,45950.0,true,false,44450.0,30800.0,43650.0,1900.0,,false,
01tWK00000G1IkuYAF,01sWK000003AnvNYAS,42750.0,true,false,42100.0,30300.0,42150.0,1700.0,,false,
01tWK00000G1IkvYAF,01sWK000003AnvNYAS,47900.0,true,false,47150.0,33800.0,47200.0,2000.0,,false,
01tWK00000G1IkwYAF,01sWK000003AnvNYAS,48900.0,true,false,48150.0,34300.0,48300.0,2000.0,,false,
01tWK00000G1IkxYAF,01sWK000003AnvNYAS,54000.0,true,false,53150.0,38400.0,53200.0,2000.0,,false,
01tWK00000G1IkyYAF,01sWK000003AnvNYAS,50900.0,true,false,50100.0,35700.0,50200.0,2100.0,,false,
01tWK00000G1IkzYAF,01sWK000003AnvNYAS,34600.0,true,false,34050.0,24700.0,34100.0,1300.0,,false,
01tWK00000G1Il0YAF,01sWK000003AnvNYAS,45690.0,true,false,41690.0,41400.0,35600.0,1800.0,4000.0,false,
