ProductCode,UnitPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,PrecioExoneradoMinimo__c,Gastos__c,MontoCashback__c,AplicaCashback__c
NPS75L-HL5VAYN 2027,64250.0,63200.0,50900.0,63350.0,2200.0,,false
NPS75L-HL5VWYN 2026,66900.0,65225.0,60600.0,56554.0,2400.0,,false
NPS75L-HL5VWYN 2027,68250.0,67200.0,53900.0,67350.0,2400.0,,false
NQR75L-HN5VAYN 2026,50500.0,48900.0,42600.0,48712.0,1000.0,,false
NQR75L-KN5VAYN 2025,48500.0,46000.0,42100.0,46705.0,1000.0,,false
NQR75L-KN5VAYN 2026,51500.0,49900.0,43400.0,49724.0,1100.0,,false
NQR75L-LN5VAYN 2025,49500.0,47000.0,42700.0,47003.0,800.0,,false
NQR75L-LN5VAYN 2026,52500.0,50900.0,73014.98,21820.02,1200.0,,false
QLR77L-EE1AYCON 2025,24500.0,23500.0,22600.0,22509.0,1100.0,,false
QLR77L-EE1AYCON 2026,26900.0,26230.0,22100.0,24800.0,1200.0,,false
S1W7L961G D D0RX 2024,51700.0,43700.0,35400.0,29600.0,2800.0,7500.0,false
S8W72FC5K G G3RP 2025,85990.0,77990.0,58700.0,50600.0,4200.0,8000.0,false
S8W72FC5K G G40T 2025,85990.0,77990.0,58600.0,50000.0,4200.0,8000.0,false
SPW5K2G1U D D525 2026,31990.0,25470.0,22220.0,17520.0,1400.0,6000.0,false
SPW5K2G1U D D526 2025,32900.0,26380.0,22720.0,19020.0,1400.0,6000.0,false
SPW5K2G1U D D526 2026,33900.0,28380.0,23520.0,19120.0,1400.0,5000.0,false
SZBB2FC57 S S537 2025,43900.0,37090.0,38610.0,31210.0,2800.0,6000.0,false
SZBB2FC57 S S537 2026,44900.0,39090.0,39610.0,33010.0,2800.0,5000.0,false
SZBB2FC5J K K608 2025,51900.0,45090.0,45610.0,38010.0,3200.0,6000.0,false
SZBB2FC5J K K608 2026,51900.0,47090.0,45610.0,39810.0,3200.0,4000.0,false
SZBB2FC5J S S350 2025,45900.0,39090.0,40510.0,33010.0,2800.0,6000.0,false
SZBB2FC5J S S539 2025,45900.0,39090.0,40510.0,33010.0,2800.0,6000.0,false
SZBB2FC5J S S539 2026,46900.0,42090.0,41510.0,35710.0,2800.0,4000.0,false
SZBB2FC5K K K608 2026,55900.0,51090.0,49410.0,43310.0,3300.0,4000.0,false
SZBB2FC5K K K609 2025,59900.0,53090.0,52810.0,44910.0,3400.0,6000.0,false
SZBB2FC5K K K609 2026,61900.0,57090.0,54810.0,48610.0,3400.0,4000.0,false
SZBB2FC5K S S539 2025,48900.0,42090.0,43310.0,35710.0,2800.0,6000.0,false
SZBB2FC5K S S539 2026,49900.0,45090.0,44410.0,38410.0,2800.0,4000.0,false
SZF32FC57 P P712 2026,45900.0,39090.0,35610.0,29110.0,2800.0,6000.0,false
TCL4002 2025,44950.0,43655.0,30500.0,43079.0,2000.0,,false
TCL4008 2025,56900.0,55400.0,41500.0,55095.0,2500.0,,false
TCL5001 2026,41900.0,40850.0,32200.0,37213.0,1700.0,,false
TCL5002 2026,46950.0,45750.0,32300.0,45005.0,2000.0,,false
TCL5003 2026,47950.0,46750.0,32000.0,47321.0,2000.0,,false
TCL5004 2026,52900.0,51550.0,39700.0,48124.0,2000.0,,false
TCL5005 2026,49950.0,48700.0,44950.0,37792.0,2100.0,,false
TCL5006 2026,54900.0,53000.0,54940.0,36305.0,2100.0,,false
TCL5008 2026,59900.0,58000.0,43200.0,58121.0,2500.0,,false
TCL5009 2026,33900.0,33050.0,23400.0,32023.0,1300.0,,false
TCL5010 2026,39900.0,38900.0,27000.0,38179.0,1500.0,,false
TCL5011 2026,41900.0,40400.0,29200.0,40416.0,1600.0,,false
TCL5012 2026,45950.0,44450.0,30800.0,43650.0,1900.0,,false
TCL6001 2027,42750.0,42100.0,30300.0,42150.0,1700.0,,false
TCL6002 2027,47900.0,47150.0,33800.0,47200.0,2000.0,,false
TCL6003 2027,48900.0,48150.0,34300.0,48300.0,2000.0,,false
TCL6004 2027,54000.0,53150.0,38400.0,53200.0,2000.0,,false
TCL6005 2027,50900.0,50100.0,35700.0,50200.0,2100.0,,false
TCL6009 2027,34600.0,34050.0,24700.0,34100.0,1300.0,,false
UG9AHEAD5VT3 B618 2026,45690.0,41690.0,41400.0,35600.0,1800.0,4000.0,false
UGAADSAD5DM1 B545 2025,46890.0,44890.0,41000.0,37500.0,2700.0,2000.0,false
UGAADSAD5DM1 B545 2026,48800.0,47300.0,41700.0,38500.0,3850.0,1500.0,false
UGAAHLAD5VT3 A919 2026,44900.0,38900.0,39900.0,32300.0,2600.0,6000.0,false
UJCL201 2024,63900.0,62843.0,42500.0,62720.0,2500.0,,false
UJCL301 2024,65900.0,64873.0,44500.0,64852.0,2600.0,,false
UJCL501 2026,71900.0,70100.0,49700.0,70119.0,2900.0,,false
UJCL502 2026,63900.0,62300.0,43200.0,62324.0,2600.0,,false
