Name,ProductCode,Family,MakeName,BusinessBrandId,IsActive
D-MAX SPACE-CAB 4X4 C.EXTENDIDA 3.0L T/M (TCL5002),TCL5002 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/M (TCL5003),TCL5003 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX HIGHLANDER 4X4 D.CABINA 3.0L T/M (TCL5004),TCL5004 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/A (TCL5005),TCL5005 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX HIGHLANDER 4X4 D.CABINA 3.0L T/A (TCL5006),TCL5006 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX X-TERRAIN 4X4 D.CABINA 3.0L T/A (TCL5008),TCL5008 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX WORKER 4X2 C.SENCILLA 1.9L T/M (TCL5009),TCL5009 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX V-CROSS 4X2 HR D.CABINA 1.9L T/M (TCL5010),TCL5010 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX WORKER 4X4 D.CABINA 1.9L T/M (TCL5011),TCL5011 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX V-CROSS 4X4 D.CABINA 1.9L T/A (TCL5012),TCL5012 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX WORKER 4X4 C.SENCILLA 3.0L T/M (TCL6001),TCL6001 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX SPACE-CAB 4X4 C.EXTENDIDA 3.0L T/M (TCL6002),TCL6002 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/M (TCL6003),TCL6003 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX HIGHLANDER 4X4 D.CABINA 3.0L T/M (TCL6004),TCL6004 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/A (TCL6005),TCL6005 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
D-MAX WORKER 4X2 C.SENCILLA 1.9L T/M (TCL6009),TCL6009 2027,Autos,Isuzu,1BUWK0000009EFF4A2,true
EX9 Camion 3.900 cc DSL T/M 2WD,UG9AHEAD5VT3 B618 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
EX6 Dump Camion 3.900 cc DSL T/M 2WD,UGAADSAD5DM1 B545 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
EX6 Dump Camion 3.900 cc DSL T/M 2WD,UGAADSAD5DM1 B545 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
EX6 Camion 3.900 cc DSL T/M 2WD,UGAAHLAD5VT3 A919 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
MU-X 4X4 3.0L T/A (UJCL201) ELEGANT,UJCL201 2024,Autos,Isuzu,1BUWK0000009EFF4A2,true
MU-X 4X4 3.0L T/A (UJCL301) ELEGANT,UJCL301 2024,Autos,Isuzu,1BUWK0000009EFF4A2,true
MU-X 4X4 3.0L T/A (UJCL501) ELEGANT,UJCL501 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
MU-X 4X4 3.0L T/A TELA (UJCL502) PREMIUM,UJCL502 2026,Autos,Isuzu,1BUWK0000009EFF4A2,true
