Name,ProductId,ModelCode,EngineCubicCapacity
D-MAX HIGHLANDER 4X4 D.CABINA 3.0L T/M (TCL6004) 2027,01tWK00000G1IkxYAF,TCL6004,3.0L
D-MAX V-CROSS 4X4 D.CABINA 3.0L T/A (TCL6005) 2027,01tWK00000G1IkyYAF,TCL6005,3.0L
D-MAX WORKER 4X2 C.SENCILLA 1.9L T/M (TCL6009) 2027,01tWK00000G1IkzYAF,TCL6009,1.9L
EX9 Camion 3.900 cc DSL T/M 2WD 2026,01tWK00000G1Il0YAF,UG9AHEAD5VT3 B618,3.900 cc
EX6 Dump Camion 3.900 cc DSL T/M 2WD 2025,01tWK00000G1Il1YAF,UGAADSAD5DM1 B545,3.900 cc
EX6 Dump Camion 3.900 cc DSL T/M 2WD 2026,01tWK00000G1Il2YAF,UGAADSAD5DM1 B545,3.900 cc
EX6 Camion 3.900 cc DSL T/M 2WD 2026,01tWK00000G1Il3YAF,UGAAHLAD5VT3 A919,3.900 cc
MU-X 4X4 3.0L T/A (UJCL201) ELEGANT 2024,01tWK00000G1Il4YAF,UJCL201,3.0L
MU-X 4X4 3.0L T/A (UJCL301) ELEGANT 2024,01tWK00000G1Il5YAF,UJCL301,3.0L
MU-X 4X4 3.0L T/A (UJCL501) ELEGANT 2026,01tWK00000G1Il6YAF,UJCL501,3.0L
MU-X 4X4 3.0L T/A TELA (UJCL502) PREMIUM 2026,01tWK00000G1Il7YAF,UJCL502,3.0L
Accent Sedan Sport 1.500 cc Gas T/A 2WD 2024,01tWK00000G1C4XYAV,0YS4D661V D D319,1.500 cc
Accent Sedan Sport 1.500 cc Gas T/A 2WD 2025,01tWK00000G1C4YYAV,0YS4D661V D D319,1.500 cc
Accent Sedan Limited 1.500 cc Gas T/A 2WD 2024,01tWK00000G1C4ZYAV,0YS4D661V D D394,1.500 cc
Accent Sedan TEDR 1.500 cc Gas T/A 2WD 2024,01tWK00000G1C4aYAF,0YS4D661V D D397,1.500 cc
Accent Sedan Limited 1.500 cc Gas T/A 2WD 2025,01tWK00000G1C4bYAF,0YS4D661V D TBD,1.500 cc
Kona Gasolina TEDR 2.000 cc Gas T/A SBW 2WD 2024,01tWK00000G1C4cYAF,1EW52J61V D D429,2.000 cc
